Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
325000 ,Cicilan : 35 Jutaan per bulan,"Geger Kalong, Bandung",6.00 ,5.00 ,3.00 ,446.00 ,400.00 
42900 ,Cicilan : 4 Jutaan per bulan,"Setiabudi, Bandung",2.00 ,2.00 ,0.00 ,60.00 ,67.00 
520000 ,Cicilan : 57 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,4.00 ,1.00 ,340.00 ,590.00 
175500 ,Cicilan : 19 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,1.00 ,1.00 ,112.00 ,200.00 
240500 ,Cicilan : 26 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,3.00 ,2.00 ,145.00 ,200.00 
104000 ,Cicilan : 11 Jutaan per bulan,"Bandung Kota, Bandung",4.00 ,3.00 ,1.00 ,144.00 ,220.00 
NULL,NULL,NULL,2.00 ,1.00 ,3.00 ,30.00 ,55.00 
84500 ,Cicilan : 9 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,2.00 ,114.00 ,139.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Cicendo, Bandung",6.00 ,5.00 ,2.00 ,436.00 ,602.00 
38935 ,Cicilan : 4 Jutaan per bulan,"Gede Bage, Bandung",NULL,NULL,0.00 ,90.00 ,90.00 
65000 ,Cicilan : 7 Jutaan per bulan,"Rancasari, Bandung",2.00 ,1.00 ,1.00 ,78.00 ,45.00 
136500 ,Cicilan : 15 Jutaan per bulan,"Cimahi, Bandung",5.00 ,1.00 ,2.00 ,250.00 ,100.00 
19955 ,Cicilan : 2 Jutaan per bulan,"Margacinta, Bandung",2.00 ,1.00 ,1.00 ,50.00 ,36.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Padalarang, Bandung",3.00 ,3.00 ,1.00 ,84.00 ,75.00 
224250 ,Cicilan : 24 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,4.00 ,2.00 ,157.00 ,190.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,3.00 ,0.00 ,77.00 ,120.00 
17615 ,Cicilan : 1 Jutaan per bulan,"Buah Batu, Bandung",2.00 ,1.00 ,1.00 ,45.00 ,30.00 
120250 ,Cicilan : 13 Jutaan per bulan,"Buah Batu, Bandung",5.00 ,3.00 ,0.00 ,105.00 ,180.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Cimahi, Bandung",3.00 ,3.00 ,0.00 ,146.00 ,80.00 
14755 ,Cicilan : 1 Jutaan per bulan,"Bojongsoang, Bandung",2.00 ,1.00 ,1.00 ,35.00 ,25.00 
169000 ,Cicilan : 18 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,2.00 ,166.00 ,120.00 
186550 ,Cicilan : 20 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,3.00 ,0.00 ,200.00 ,165.00 
617500 ,Cicilan : 68 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,3.00 ,3.00 ,408.00 ,600.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Cigadung, Bandung",4.00 ,2.00 ,1.00 ,138.00 ,160.00 
122200 ,Cicilan : 13 Jutaan per bulan,"Buah Batu, Bandung",4.00 ,4.00 ,2.00 ,110.00 ,150.00 
14300 ,Cicilan : 1 Jutaan per bulan,"Cileunyi, Bandung",NULL,NULL,0.00 ,87.00 ,37.00 
552500 ,Cicilan : 60 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,3.00 ,2.00 ,450.00 ,300.00 
102050 ,Cicilan : 11 Jutaan per bulan,"Dago, Bandung",3.00 ,2.00 ,0.00 ,109.00 ,120.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Pasteur, Bandung",3.00 ,2.00 ,1.00 ,112.00 ,107.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Pajajaran, Bandung",3.00 ,2.00 ,0.00 ,205.00 ,250.00 
39000 ,Cicilan : 4 Jutaan per bulan,"Arcamanik, Bandung",3.00 ,2.00 ,0.00 ,100.00 ,65.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Pajajaran, Bandung",3.00 ,2.00 ,0.00 ,205.00 ,250.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Pasteur, Bandung",3.00 ,3.00 ,2.00 ,104.00 ,197.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,2.00 ,1.00 ,145.00 ,100.00 
39000 ,Cicilan : 4 Jutaan per bulan,"Bandung Kulon, Bandung",3.00 ,2.00 ,0.00 ,100.00 ,65.00 
91000 ,Cicilan : 10 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,1.00 ,1.00 ,165.00 ,120.00 
37050 ,Cicilan : 4 Jutaan per bulan,"Ciwastra, Bandung",2.00 ,1.00 ,1.00 ,72.00 ,36.00 
43550 ,Cicilan : 4 Jutaan per bulan,"Arcamanik, Bandung",2.00 ,1.00 ,1.00 ,80.00 ,50.00 
117000 ,Cicilan : 12 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,1.00 ,190.00 ,180.00 
22750 ,Cicilan : 2 Jutaan per bulan,"Soreang, Bandung",2.00 ,1.00 ,1.00 ,72.00 ,36.00 
143000 ,Cicilan : 15 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,3.00 ,0.00 ,190.00 ,170.00 
188500 ,Cicilan : 20 Jutaan per bulan,"Holis Cigondewah, Bandung",2.00 ,2.00 ,1.00 ,224.00 ,180.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Cigadung, Bandung",2.00 ,2.00 ,1.00 ,71.00 ,120.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Holis Cigondewah, Bandung",5.00 ,2.00 ,1.00 ,180.00 ,170.00 
185250 ,Cicilan : 20 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,3.00 ,3.00 ,252.00 ,200.00 
84500 ,Cicilan : 9 Jutaan per bulan,"Buah Batu, Bandung",2.00 ,2.00 ,1.00 ,81.00 ,78.00 
104000 ,Cicilan : 11 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,2.00 ,153.00 ,140.00 
35750 ,Cicilan : 3 Jutaan per bulan,"Ujungberung, Bandung",2.00 ,1.00 ,1.00 ,70.00 ,45.00 
104000 ,Cicilan : 11 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,2.00 ,153.00 ,140.00 
49400 ,Cicilan : 5 Jutaan per bulan,"Margacinta, Bandung",3.00 ,2.00 ,1.00 ,102.00 ,55.00 
111800 ,Cicilan : 12 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,2.00 ,171.00 ,135.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Padalarang, Bandung",3.00 ,3.00 ,1.00 ,84.00 ,75.00 
47450 ,Cicilan : 5 Jutaan per bulan,"Arcamanik, Bandung",3.00 ,1.00 ,1.00 ,110.00 ,70.00 
24375 ,Cicilan : 2 Jutaan per bulan,"Margahayu, Bandung",2.00 ,1.00 ,1.00 ,56.00 ,45.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,1.00 ,136.00 ,96.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,4.00 ,0.00 ,200.00 ,250.00 
143000 ,Cicilan : 15 Jutaan per bulan,"Holis Cigondewah, Bandung",2.00 ,2.00 ,1.00 ,90.00 ,120.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Holis Cigondewah, Bandung",4.00 ,3.00 ,1.00 ,195.00 ,190.00 
76050 ,Cicilan : 8 Jutaan per bulan,"Antapani, Bandung",3.00 ,2.00 ,1.00 ,175.00 ,168.00 
149500 ,Cicilan : 16 Jutaan per bulan,"Cibiru, Bandung",5.00 ,4.00 ,0.00 ,300.00 ,450.00 
50375 ,Cicilan : 5 Jutaan per bulan,"Gatot Subroto, Bandung",1.00 ,2.00 ,0.00 ,141.00 ,140.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Padalarang, Bandung",3.00 ,3.00 ,1.00 ,84.00 ,75.00 
19500 ,Cicilan : 2 Jutaan per bulan,"Padalarang, Bandung",3.00 ,2.00 ,2.00 ,80.00 ,70.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Sariwangi, Bandung",4.00 ,2.00 ,1.00 ,90.00 ,120.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Padalarang, Bandung",3.00 ,3.00 ,1.00 ,84.00 ,75.00 
117000 ,Cicilan : 12 Jutaan per bulan,"Margahayu, Bandung",4.00 ,3.00 ,1.00 ,145.00 ,200.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Pasteur, Bandung",4.00 ,2.00 ,1.00 ,86.00 ,125.00 
117000 ,Cicilan : 12 Jutaan per bulan,"Caringin, Bandung",4.00 ,2.00 ,0.00 ,223.00 ,100.00 
126750 ,Cicilan : 13 Jutaan per bulan,"Sarijadi, Bandung",3.00 ,4.00 ,0.00 ,170.00 ,140.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Sariwangi, Bandung",4.00 ,3.00 ,2.00 ,114.00 ,135.00 
416000 ,Cicilan : 45 Jutaan per bulan,"Lengkong, Bandung",28.00 ,28.00 ,0.00 ,287.00 ,450.00 
253500 ,Cicilan : 27 Jutaan per bulan,"Dago, Bandung",8.00 ,4.00 ,4.00 ,367.00 ,286.00 
1430000 ,Cicilan : 157 Jutaan per bulan,"Dago, Bandung",6.00 ,6.00 ,0.00 ,1000.00 ,517.00 
227500 ,Cicilan : 25 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,3.00 ,120.00 ,212.00 
715000 ,Cicilan : 78 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,2.00 ,500.00 ,700.00 
503750 ,Cicilan : 55 Jutaan per bulan,"Sayap Dago, Bandung",4.00 ,4.00 ,4.00 ,500.00 ,300.00 
186550 ,Cicilan : 20 Jutaan per bulan,"Pasteur, Bandung",3.00 ,3.00 ,2.00 ,200.00 ,165.00 
71500 ,Cicilan : 7 Jutaan per bulan,"Soekarno Hatta, Bandung",3.00 ,2.00 ,1.00 ,171.00 ,80.00 
53625 ,Cicilan : 5 Jutaan per bulan,"Cibaduyut, Bandung",2.00 ,2.00 ,2.00 ,100.00 ,70.00 
172250 ,Cicilan : 18 Jutaan per bulan,"Cibaduyut, Bandung",4.00 ,3.00 ,4.00 ,152.00 ,230.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Turangga, Bandung",NULL,NULL,0.00 ,404.00 ,300.00 
357500 ,Cicilan : 39 Jutaan per bulan,"Buah Batu, Bandung",NULL,NULL,0.00 ,458.00 ,300.00 
390000 ,Cicilan : 42 Jutaan per bulan,"Padalarang, Bandung",5.00 ,5.00 ,1.00 ,932.00 ,932.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,1.00 ,0.00 ,150.00 ,142.00 
61750 ,Cicilan : 6 Jutaan per bulan,"Buah Batu, Bandung",NULL,NULL,0.00 ,148.00 ,124.00 
503750 ,Cicilan : 55 Jutaan per bulan,"Sayap Dago, Bandung",4.00 ,2.00 ,4.00 ,500.00 ,300.00 
41080 ,Cicilan : 4 Jutaan per bulan,"Bojongsoang, Bandung",3.00 ,2.00 ,0.00 ,64.00 ,84.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Antapani, Bandung",NULL,NULL,0.00 ,112.00 ,187.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Cibaduyut, Bandung",3.00 ,2.00 ,0.00 ,140.00 ,160.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Dayeuhkolot, Bandung",20.00 ,20.00 ,0.00 ,199.00 ,228.00 
117000 ,Cicilan : 12 Jutaan per bulan,"Gede Bage, Bandung",NULL,NULL,0.00 ,105.00 ,77.00 
260000 ,Cicilan : 28 Jutaan per bulan,"Gede Bage, Bandung",NULL,NULL,0.00 ,180.00 ,136.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,3.00 ,2.00 ,160.00 ,240.00 
29250 ,Cicilan : 3 Jutaan per bulan,"Ujungberung, Bandung",2.00 ,1.00 ,1.00 ,60.00 ,42.00 
406250 ,Cicilan : 44 Jutaan per bulan,"Cibaduyut, Bandung",NULL,NULL,0.00 ,320.00 ,400.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Padalarang, Bandung",3.00 ,3.00 ,0.00 ,84.00 ,75.00 
403000 ,Cicilan : 44 Jutaan per bulan,"Cibaduyut, Bandung",NULL,NULL,0.00 ,300.00 ,400.00 
305500 ,Cicilan : 33 Jutaan per bulan,"Cibaduyut, Bandung",NULL,NULL,0.00 ,200.00 ,276.00 
39000 ,Cicilan : 4 Jutaan per bulan,"Cihanjuang, Bandung",2.00 ,1.00 ,1.00 ,100.00 ,45.00 
390000 ,Cicilan : 42 Jutaan per bulan,"Setiabudi, Bandung",NULL,NULL,0.00 ,356.00 ,1151.00 
39000 ,Cicilan : 4 Jutaan per bulan,"Cihanjuang, Bandung",2.00 ,1.00 ,1.00 ,100.00 ,45.00 
22750 ,Cicilan : 2 Jutaan per bulan,"Banjaran, Bandung",2.00 ,2.00 ,1.00 ,72.00 ,45.00 
247000 ,Cicilan : 27 Jutaan per bulan,"Setiabudi, Bandung",NULL,NULL,0.00 ,430.00 ,260.00 
715000 ,Cicilan : 78 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,2.00 ,500.00 ,700.00 
56225 ,Cicilan : 6 Jutaan per bulan,"Rancasari, Bandung",3.00 ,2.00 ,1.00 ,104.00 ,80.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Geger Kalong, Bandung",4.00 ,2.00 ,1.00 ,520.00 ,250.00 
318500 ,Cicilan : 35 Jutaan per bulan,"Leuwi Panjang, Bandung",NULL,NULL,0.00 ,290.00 ,290.00 
104000 ,Cicilan : 11 Jutaan per bulan,"Rancasari, Bandung",5.00 ,3.00 ,1.00 ,144.00 ,200.00 
31525 ,Cicilan : 3 Jutaan per bulan,"Ujungberung, Bandung",2.00 ,1.00 ,1.00 ,100.00 ,80.00 
240500 ,Cicilan : 26 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,322.00 ,168.00 
102050 ,Cicilan : 11 Jutaan per bulan,"Cigadung, Bandung",3.00 ,2.00 ,0.00 ,109.00 ,120.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,1.00 ,245.00 ,220.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,2.00 ,216.00 ,150.00 
468000 ,Cicilan : 51 Jutaan per bulan,"Riau, Bandung",4.00 ,2.00 ,0.00 ,282.00 ,150.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Antapani, Bandung",NULL,NULL,0.00 ,112.00 ,187.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Batununggal, Bandung",4.00 ,3.00 ,1.00 ,245.00 ,140.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Dago, Bandung",12.00 ,5.00 ,0.00 ,169.00 ,250.00 
130000 ,Cicilan : 14 Jutaan per bulan,"Margahayu, Bandung",4.00 ,4.00 ,1.00 ,238.00 ,180.00 
40625 ,Cicilan : 4 Jutaan per bulan,"Margaasih, Bandung",2.00 ,1.00 ,0.00 ,72.00 ,36.00 
503750 ,Cicilan : 55 Jutaan per bulan,"Sayap Dago, Bandung",4.00 ,2.00 ,0.00 ,500.00 ,300.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,0.00 ,200.00 ,170.00 
191750 ,Cicilan : 21 Jutaan per bulan,"Pasteur, Bandung",4.00 ,4.00 ,4.00 ,156.00 ,170.00 
715000 ,Cicilan : 78 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,0.00 ,500.00 ,700.00 
221000 ,Cicilan : 24 Jutaan per bulan,"Batununggal, Bandung",4.00 ,4.00 ,1.00 ,180.00 ,290.00 
64935 ,Cicilan : 7 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,1.00 ,0.00 ,108.00 ,90.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,3.00 ,1.00 ,297.00 ,200.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Taman Kopo Indah, Bandung",NULL,NULL,0.00 ,185.00 ,220.00 
185250 ,Cicilan : 20 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,0.00 ,200.00 ,150.00 
31850 ,Cicilan : 3 Jutaan per bulan,"Sariwangi, Bandung",2.00 ,1.00 ,1.00 ,70.00 ,36.00 
18850 ,Cicilan : 2 Jutaan per bulan,"Ciwidey, Bandung",2.00 ,1.00 ,2.00 ,78.00 ,38.00 
52000 ,Cicilan : 5 Jutaan per bulan,"Cibeureum, Bandung",4.00 ,2.00 ,1.00 ,85.00 ,140.00 
55250 ,Cicilan : 6 Jutaan per bulan,"Cijerah, Bandung",4.00 ,2.00 ,1.00 ,84.00 ,140.00 
11700 ,Cicilan : 1 Jutaan per bulan,"Banjaran, Bandung",2.00 ,1.00 ,0.00 ,60.00 ,30.00 
39000 ,Cicilan : 4 Jutaan per bulan,"Mandalajati, Bandung",3.00 ,2.00 ,2.00 ,100.00 ,72.00 
45825 ,Cicilan : 5 Jutaan per bulan,"Cibiru, Bandung",2.00 ,1.00 ,1.00 ,80.00 ,42.00 
32500 ,Cicilan : 3 Jutaan per bulan,"Cibiru, Bandung",3.00 ,2.00 ,1.00 ,85.00 ,155.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Arcamanik, Bandung",3.00 ,2.00 ,1.00 ,91.00 ,83.00 
221000 ,Cicilan : 24 Jutaan per bulan,"Batununggal, Bandung",4.00 ,4.00 ,1.00 ,180.00 ,290.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Soekarno Hatta, Bandung",4.00 ,3.00 ,0.00 ,100.00 ,115.00 
78000 ,Cicilan : 8 Jutaan per bulan,"Antapani, Bandung",2.00 ,2.00 ,1.00 ,115.00 ,120.00 
51025 ,Cicilan : 5 Jutaan per bulan,"Cicendo, Bandung",2.00 ,2.00 ,0.00 ,60.00 ,90.00 
975000 ,Cicilan : 107 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,4.00 ,4.00 ,510.00 ,480.00 
42250 ,Cicilan : 4 Jutaan per bulan,"Rancasari, Bandung",3.00 ,1.00 ,1.00 ,93.00 ,80.00 
227500 ,Cicilan : 25 Jutaan per bulan,"Suci, Bandung",5.00 ,2.00 ,1.00 ,160.00 ,250.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Arcamanik, Bandung",2.00 ,2.00 ,3.00 ,175.00 ,100.00 
10400 ,Cicilan : 1 Jutaan per bulan,"Pameungpeuk, Bandung",2.00 ,1.00 ,0.00 ,30.00 ,50.00 
63375 ,Cicilan : 6 Jutaan per bulan,"Cikutra, Bandung",4.00 ,2.00 ,1.00 ,94.00 ,110.00 
188500 ,Cicilan : 20 Jutaan per bulan,"Turangga, Bandung",4.00 ,4.00 ,1.00 ,170.00 ,250.00 
91000 ,Cicilan : 10 Jutaan per bulan,"Cimaung, Bandung",4.00 ,4.00 ,1.00 ,154.00 ,280.00 
585000 ,Cicilan : 64 Jutaan per bulan,"Pelajar Pejuang, Bandung",5.00 ,3.00 ,2.00 ,302.00 ,360.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,4.00 ,0.00 ,122.00 ,80.00 
845000 ,Cicilan : 93 Jutaan per bulan,"Sukajadi, Bandung",7.00 ,5.00 ,0.00 ,1545.00 ,850.00 
15600 ,Cicilan : 1 Jutaan per bulan,"Cileunyi, Bandung",2.00 ,1.00 ,1.00 ,36.00 ,68.00 
24050 ,Cicilan : 2 Jutaan per bulan,"Katapang, Bandung",2.00 ,1.00 ,1.00 ,72.00 ,36.00 
136500 ,Cicilan : 15 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,110.00 
100750 ,Cicilan : 11 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,1.00 ,0.00 ,108.00 ,49.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,2.00 ,1.00 ,185.00 ,220.00 
84500 ,Cicilan : 9 Jutaan per bulan,"Andir, Bandung",2.00 ,2.00 ,1.00 ,137.00 ,160.00 
715000 ,Cicilan : 78 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,2.00 ,0.00 ,500.00 ,700.00 
81250 ,Cicilan : 8 Jutaan per bulan,"Arcamanik, Bandung",3.00 ,2.00 ,0.00 ,176.00 ,140.00 
113750 ,Cicilan : 12 Jutaan per bulan,"Regol, Bandung",4.00 ,2.00 ,1.00 ,140.00 ,200.00 
97500 ,Cicilan : 10 Jutaan per bulan,"Buah Batu, Bandung",3.00 ,2.00 ,0.00 ,105.00 ,120.00 
47125 ,Cicilan : 5 Jutaan per bulan,"Ngamprah, Bandung",2.00 ,1.00 ,1.00 ,108.00 ,75.00 
81250 ,Cicilan : 8 Jutaan per bulan,"Gede Bage, Bandung",3.00 ,2.00 ,0.00 ,136.00 ,136.00 
116350 ,Cicilan : 12 Jutaan per bulan,"Buah Batu, Bandung",11.00 ,9.00 ,1.00 ,180.00 ,120.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Antapani, Bandung",4.00 ,4.00 ,1.00 ,378.00 ,400.00 
110500 ,Cicilan : 12 Jutaan per bulan,"Ciwastra, Bandung",6.00 ,4.00 ,1.00 ,265.00 ,400.00 
53625 ,Cicilan : 5 Jutaan per bulan,"Cibaduyut, Bandung",2.00 ,2.00 ,2.00 ,100.00 ,70.00 
133250 ,Cicilan : 14 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,1.00 ,237.00 ,200.00 
253500 ,Cicilan : 27 Jutaan per bulan,"Dago, Bandung",6.00 ,3.00 ,0.00 ,367.00 ,286.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Buah Batu, Bandung",3.00 ,1.00 ,0.00 ,133.00 ,85.00 
212550 ,Cicilan : 23 Jutaan per bulan,"Coblong, Bandung",6.00 ,4.00 ,0.00 ,166.00 ,240.00 
416000 ,Cicilan : 45 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,5.00 ,0.00 ,350.00 ,300.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Sukajadi, Bandung",5.00 ,3.00 ,0.00 ,144.00 ,280.00 
169000 ,Cicilan : 18 Jutaan per bulan,"Cibeunying, Bandung",5.00 ,3.00 ,0.00 ,202.00 ,250.00 
175500 ,Cicilan : 19 Jutaan per bulan,"Ujungberung, Bandung",5.00 ,3.00 ,0.00 ,178.00 ,230.00 
34125 ,Cicilan : 3 Jutaan per bulan,"Cimenyan, Bandung",3.00 ,3.00 ,0.00 ,58.00 ,58.00 
130000 ,Cicilan : 14 Jutaan per bulan,"Baleendah, Bandung",4.00 ,4.00 ,0.00 ,420.00 ,360.00 
357500 ,Cicilan : 39 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",7.00 ,5.00 ,0.00 ,399.00 ,450.00 
40950 ,Cicilan : 4 Jutaan per bulan,"Gede Bage, Bandung",2.00 ,1.00 ,1.00 ,72.00 ,70.00 
585000 ,Cicilan : 64 Jutaan per bulan,"Riau, Bandung",3.00 ,3.00 ,1.00 ,266.00 ,400.00 
107250 ,Cicilan : 11 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,1.00 ,153.00 ,150.00 
159250 ,Cicilan : 17 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,3.00 ,0.00 ,120.00 ,170.00 
48750 ,Cicilan : 5 Jutaan per bulan,"Padasuka, Bandung",1.00 ,1.00 ,0.00 ,89.00 ,70.00 
87100 ,Cicilan : 9 Jutaan per bulan,"Sarijadi, Bandung",3.00 ,2.00 ,1.00 ,86.00 ,125.00 
51025 ,Cicilan : 5 Jutaan per bulan,"Ujungberung, Bandung",2.00 ,2.00 ,1.00 ,72.00 ,45.00 
61750 ,Cicilan : 6 Jutaan per bulan,"Arcamanik, Bandung",4.00 ,2.00 ,1.00 ,132.00 ,90.00 
96850 ,Cicilan : 10 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,0.00 ,153.00 ,170.00 
109850 ,Cicilan : 12 Jutaan per bulan,"Gatot Subroto, Bandung",3.00 ,2.00 ,0.00 ,128.00 ,110.00 
102700 ,Cicilan : 11 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,2.00 ,0.00 ,168.00 ,210.00 
83850 ,Cicilan : 9 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,3.00 ,0.00 ,169.00 ,113.00 
63375 ,Cicilan : 6 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,1.00 ,0.00 ,87.00 ,70.00 
64935 ,Cicilan : 7 Jutaan per bulan,"Taman Kopo Indah, Bandung",4.00 ,3.00 ,0.00 ,135.00 ,150.00 
103350 ,Cicilan : 11 Jutaan per bulan,"Taman Kopo Indah, Bandung",6.00 ,3.00 ,0.00 ,153.00 ,200.00 
48750 ,Cicilan : 5 Jutaan per bulan,"Cijerah, Bandung",2.00 ,2.00 ,0.00 ,84.00 ,94.00 
129350 ,Cicilan : 14 Jutaan per bulan,"Holis Cigondewah, Bandung",2.00 ,2.00 ,0.00 ,200.00 ,170.00 
103350 ,Cicilan : 11 Jutaan per bulan,"Holis Cigondewah, Bandung",2.00 ,2.00 ,0.00 ,153.00 ,153.00 
64935 ,Cicilan : 7 Jutaan per bulan,"Kopo, Bandung",5.00 ,2.00 ,0.00 ,133.00 ,120.00 
90350 ,Cicilan : 10 Jutaan per bulan,"Taman Kopo Indah, Bandung",2.00 ,2.00 ,0.00 ,147.00 ,200.00 
94250 ,Cicilan : 10 Jutaan per bulan,"Taman Kopo Indah, Bandung",3.00 ,2.00 ,0.00 ,171.00 ,117.00 
83850 ,Cicilan : 9 Jutaan per bulan,"Sudirman, Bandung",2.00 ,2.00 ,0.00 ,61.00 ,90.00 
58435 ,Cicilan : 6 Jutaan per bulan,"Cibaduyut, Bandung",3.00 ,2.00 ,0.00 ,86.00 ,98.00 
63375 ,Cicilan : 6 Jutaan per bulan,"Kopo, Bandung",2.00 ,1.00 ,0.00 ,136.00 ,130.00 
109850 ,Cicilan : 12 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,1.00 ,0.00 ,126.00 ,65.00 
51935 ,Cicilan : 5 Jutaan per bulan,"Cijerah, Bandung",2.00 ,2.00 ,0.00 ,66.00 ,80.00 
53625 ,Cicilan : 5 Jutaan per bulan,"Katapang, Bandung",2.00 ,2.00 ,0.00 ,175.00 ,175.00 
35685 ,Cicilan : 3 Jutaan per bulan,"Cibaduyut, Bandung",2.00 ,1.00 ,0.00 ,65.00 ,35.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Sudirman, Bandung",3.00 ,2.00 ,0.00 ,99.00 ,100.00 
51935 ,Cicilan : 5 Jutaan per bulan,"Kopo, Bandung",3.00 ,2.00 ,0.00 ,140.00 ,100.00 
58435 ,Cicilan : 6 Jutaan per bulan,"Kopo, Bandung",2.00 ,1.00 ,0.00 ,122.00 ,120.00 
