Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
1293500 ,Cicilan : 142 Jutaan per bulan,"Setra Duta, Bandung",5.00 ,7.00 ,0.00 ,750.00 ,1000.00 
1170000 ,Cicilan : 128 Jutaan per bulan,"Lengkong, Bandung",1.00 ,5.00 ,10.00 ,568.00 ,500.00 
591500 ,Cicilan : 65 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,2.00 ,2.00 ,537.00 ,268.00 
581750 ,Cicilan : 64 Jutaan per bulan,"Riau, Bandung",4.00 ,4.00 ,2.00 ,250.00 ,400.00 
780000 ,Cicilan : 85 Jutaan per bulan,"Sumurbandung, Bandung",4.00 ,2.00 ,0.00 ,360.00 ,300.00 
120250 ,Cicilan : 13 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,3.00 ,2.00 ,200.00 ,150.00 
16380 ,Cicilan : 1 Jutaan per bulan,"Bandung Kota, Bandung",2.00 ,2.00 ,1.00 ,70.00 ,50.00 
29250 ,Cicilan : 3 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,80.00 
341250 ,Cicilan : 37 Jutaan per bulan,"Cipaku, Bandung",4.00 ,3.00 ,1.00 ,500.00 ,450.00 
975000 ,Cicilan : 107 Jutaan per bulan,"Dago, Bandung",5.00 ,5.00 ,2.00 ,750.00 ,850.00 
390000 ,Cicilan : 42 Jutaan per bulan,"Setra Duta, Bandung",5.00 ,3.00 ,1.00 ,278.00 ,500.00 
682500 ,Cicilan : 75 Jutaan per bulan,"Peta, Bandung",4.00 ,4.00 ,2.00 ,325.00 ,380.00 
9425000 ,Cicilan : 1 Miliaran per bulan,"Dago, Bandung",19.00 ,NULL,0.00 ,4150.00 ,500.00 
269750 ,Cicilan : 29 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,3.00 ,2.00 ,157.00 ,250.00 
422500 ,Cicilan : 46 Jutaan per bulan,"Sayap Dago, Bandung",4.00 ,3.00 ,2.00 ,450.00 ,400.00 
487500 ,Cicilan : 53 Jutaan per bulan,"Dago, Bandung",3.00 ,3.00 ,2.00 ,512.00 ,245.00 
2470000 ,Cicilan : 272 Jutaan per bulan,"Dago, Bandung",5.00 ,6.00 ,3.00 ,2000.00 ,1000.00 
170300 ,Cicilan : 18 Jutaan per bulan,"Setra Duta, Bandung",3.00 ,2.00 ,2.00 ,76.00 ,225.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Taman Kopo Indah, Bandung",4.00 ,4.00 ,1.00 ,153.00 ,260.00 
448500 ,Cicilan : 49 Jutaan per bulan,"Setiabudi, Bandung",5.00 ,3.00 ,2.00 ,450.00 ,500.00 
4550 ,Cicilan : 510 Ribuan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,0.00 ,180.00 ,160.00 
182000 ,Cicilan : 20 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,3.00 ,4.00 ,172.00 ,110.00 
487500 ,Cicilan : 53 Jutaan per bulan,"Dago, Bandung",3.00 ,2.00 ,3.00 ,512.00 ,245.00 
113750 ,Cicilan : 12 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,1.00 ,1.00 ,108.00 ,70.00 
324350 ,Cicilan : 35 Jutaan per bulan,"Mekar Wangi, Bandung",4.00 ,3.00 ,2.00 ,200.00 ,375.00 
NULL,NULL,NULL,2.00 ,1.00 ,3.00 ,72.00 ,43.00 
1105000 ,Cicilan : 121 Jutaan per bulan,"Dago, Bandung",51.00 ,51.00 ,0.00 ,900.00 ,1700.00 
975000 ,Cicilan : 107 Jutaan per bulan,"Setra Duta, Bandung",4.00 ,5.00 ,3.00 ,678.00 ,900.00 
1820000 ,Cicilan : 200 Jutaan per bulan,"Hegarmanah, Bandung",3.00 ,3.00 ,4.00 ,826.00 ,327.00 
211250 ,Cicilan : 23 Jutaan per bulan,"Muara, Bandung",3.00 ,3.00 ,3.00 ,332.00 ,200.00 
383500 ,Cicilan : 42 Jutaan per bulan,"Ciumbuleuit, Bandung",4.00 ,4.00 ,1.00 ,391.00 ,400.00 
6500 ,Cicilan : 720 Ribuan per bulan,"Katapang, Bandung",2.00 ,1.00 ,1.00 ,30.00 ,30.00 
NULL,NULL,NULL,4.00 ,3.00 ,4.00 ,140.00 ,147.00 
520000 ,Cicilan : 57 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,4.00 ,2.00 ,340.00 ,590.00 
279500 ,Cicilan : 30 Jutaan per bulan,"Cicendo, Bandung",3.00 ,3.00 ,2.00 ,283.00 ,350.00 
135850 ,Cicilan : 15 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,3.00 ,2.00 ,290.00 ,300.00 
149500 ,Cicilan : 16 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,2.00 ,1.00 ,126.00 ,106.00 
123500 ,Cicilan : 13 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",2.00 ,2.00 ,2.00 ,126.00 ,130.00 
239850 ,Cicilan : 26 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,2.00 ,256.00 ,196.00 
373750 ,Cicilan : 41 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,4.00 ,1.00 ,300.00 ,260.00 
617500 ,Cicilan : 68 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",5.00 ,3.00 ,0.00 ,450.00 ,600.00 
32500 ,Cicilan : 3 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,2.00 ,0.00 ,120.00 ,80.00 
22750 ,Cicilan : 2 Jutaan per bulan,"Katapang, Bandung",3.00 ,2.00 ,0.00 ,84.00 ,50.00 
18720 ,Cicilan : 2 Jutaan per bulan,"Buah Batu, Bandung",2.00 ,1.00 ,1.00 ,74.00 ,50.00 
19500 ,Cicilan : 2 Jutaan per bulan,"Buah Batu, Bandung",3.00 ,2.00 ,1.00 ,84.00 ,60.00 
24700 ,Cicilan : 2 Jutaan per bulan,"Bandung Kota, Bandung",2.00 ,1.00 ,0.00 ,84.00 ,60.00 
507000 ,Cicilan : 55 Jutaan per bulan,"Setra Duta, Bandung",4.00 ,NULL,0.00 ,375.00 ,550.00 
650000 ,Cicilan : 71 Jutaan per bulan,"Ciumbuleuit, Bandung",4.00 ,NULL,0.00 ,925.00 ,750.00 
NULL,NULL,NULL,3.00 ,2.00 ,4.00 ,120.00 ,95.00 
64935 ,Cicilan : 7 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,2.00 ,1.00 ,75.00 ,82.00 
276250 ,Cicilan : 30 Jutaan per bulan,"Cigadung, Bandung",5.00 ,3.00 ,1.00 ,330.00 ,350.00 
253500 ,Cicilan : 27 Jutaan per bulan,"Cigadung, Bandung",4.00 ,3.00 ,1.00 ,173.00 ,235.00 
194350 ,Cicilan : 21 Jutaan per bulan,"Cigadung, Bandung",5.00 ,4.00 ,1.00 ,425.00 ,400.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Antapani, Bandung",4.00 ,2.00 ,1.00 ,196.00 ,300.00 
188500 ,Cicilan : 20 Jutaan per bulan,"Turangga, Bandung",4.00 ,3.00 ,0.00 ,170.00 ,250.00 
146250 ,Cicilan : 16 Jutaan per bulan,"Regol, Bandung",2.00 ,1.00 ,0.00 ,168.00 ,150.00 
178750 ,Cicilan : 19 Jutaan per bulan,"Buah Batu, Bandung",4.00 ,4.00 ,0.00 ,126.00 ,127.00 
102050 ,Cicilan : 11 Jutaan per bulan,"Holis Cigondewah, Bandung",3.00 ,2.00 ,1.00 ,162.00 ,150.00 
552500 ,Cicilan : 60 Jutaan per bulan,"Setiabudi, Bandung",8.00 ,5.00 ,4.00 ,820.00 ,900.00 
305500 ,Cicilan : 33 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",7.00 ,5.00 ,0.00 ,280.00 ,400.00 
520000 ,Cicilan : 57 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",7.00 ,5.00 ,1.00 ,340.00 ,590.00 
162500 ,Cicilan : 17 Jutaan per bulan,"Setiabudi, Bandung",2.00 ,3.00 ,1.00 ,300.00 ,120.00 
85800 ,Cicilan : 9 Jutaan per bulan,"Pasir Luyu, Bandung",3.00 ,2.00 ,0.00 ,144.00 ,120.00 
87750 ,Cicilan : 9 Jutaan per bulan,"Cikutra, Bandung",3.00 ,2.00 ,1.00 ,91.00 ,100.00 
30485 ,Cicilan : 3 Jutaan per bulan,"Padalarang, Bandung",2.00 ,1.00 ,1.00 ,72.00 ,38.00 
71500 ,Cicilan : 7 Jutaan per bulan,"Bandung Kota, Bandung",3.00 ,2.00 ,2.00 ,112.00 ,80.00 
175500 ,Cicilan : 19 Jutaan per bulan,"Regol, Bandung",3.00 ,4.00 ,2.00 ,120.00 ,202.00 
58435 ,Cicilan : 6 Jutaan per bulan,"Setiabudi, Bandung",3.00 ,2.00 ,2.00 ,120.00 ,63.00 
213850 ,Cicilan : 23 Jutaan per bulan,"Dago, Bandung",4.00 ,4.00 ,1.00 ,119.00 ,264.00 
178750 ,Cicilan : 19 Jutaan per bulan,"Regol, Bandung",4.00 ,3.00 ,2.00 ,207.00 ,215.00 
